Mto_TC,SUELDO_ESTIMADO,EDAD,ANTIGUEDAD_MES,MARCA,Nombre_territorio,REGION,SEXO,SEGMENTO,FLAG_LIMA_PROVINCIA,FLAG_UNICEF,FLAG_SS
700,547.0,38.0,121.0,Visa,T.LIMA CENTRO,CALLAO,M,CLASICO,1.0,0,0
800,1531.56,25.0,24.0,Visa,T.LIMA CENTRO,LIMA NORTE,M,CLASICO,1.0,0,0
8000,3017.25,28.0,114.0,Visa,T.LIMA CENTRO,LIMA NORTE,F,CLASICO,1.0,0,0
1500,,,31.0,Visa,T.LIMA CENTRO,,,BAJO VALOR,,0,0
11300,1911.14,62.0,250.0,Visa,T.LIMA CENTRO,LIMA CENTRO,M,VIP,1.0,0,0
1000,1774.5,31.0,37.0,Visa,T.SURCO LA MOLINA,LIMA ESTE,F,CLASICO,1.0,0,0
700,839.0,47.0,219.0,Visa,T.LIMA SUR,LIMA MODERNA,M,CLASICO,1.0,0,0
3000,3505.0,52.0,238.0,Visa,T.MIRAFLORES S.BORJA,LIMA MODERNA,F,BAJO VALOR,1.0,0,0
20500,4382.44,54.0,166.0,Visa,T.MIRAFLORES S.BORJA,LIMA MODERNA,F,CLASICO,1.0,0,0
13000,2800.0,37.0,29.0,Visa,T.MIRAFLORES S.BORJA,LIMA NORTE,F,CLASICO,1.0,0,0
28000,700.0,57.0,294.0,Visa,T.MIRAFLORES S.BORJA,LIMA MODERNA,F,CLASICO,1.0,0,0
5300,525.0,43.0,198.0,Visa,T.SURCO LA MOLINA,LIMA ESTE,F,CLASICO,1.0,0,0
5100,578.0,54.0,121.0,Visa,T.LIMA SUR,LIMA ESTE,M,CLASICO,1.0,0,0
4500,919.5,26.0,14.0,Visa,T.LINCE,LIMA NORTE,F,BAJO VALOR,1.0,0,0
4200,595.0,27.0,18.0,Visa,T.MIRAFLORES S.BORJA,LIMA ESTE,M,CLASICO,1.0,0,0
700,5650.33,37.0,111.0,Visa,T.LIMA CENTRO,LIMA CENTRO,M,CLASICO,1.0,0,0
13500,4250.0,32.0,136.0,Visa,T.LIMA CENTRO,LIMA CENTRO,M,CLASICO,1.0,0,0
15500,1334.56,42.0,89.0,Visa,T.NORTE SUR CHICO,LIMA NORTE,F,CLASICO,1.0,0,0
16000,7506.25,40.0,,Visa,T.LINCE,LIMA CENTRO,F,,1.0,0,0
11800,,,11.0,Visa,T.LINCE,,,BAJO VALOR,,0,0
8000,2436.0,31.0,20.0,Visa,T.LINCE,LIMA MODERNA,M,BAJO VALOR,1.0,0,0
1100,1148.0,21.0,25.0,Visa,T.LINCE,LIMA SUR,M,BAJO VALOR,1.0,0,0
700,1789.11,42.0,108.0,Visa,T.LIMA CENTRO,LIMA CENTRO,M,CLASICO,1.0,0,0
48000,5629.75,37.0,159.0,Visa,T.MIRAFLORES S.BORJA,LIMA CENTRO,F,VIP,1.0,0,0
12600,3857.44,61.0,112.0,Visa,T.MIRAFLORES S.BORJA,LIMA CENTRO,M,CLASICO,1.0,0,0
13500,2692.375,40.0,149.0,Visa,T.MIRAFLORES S.BORJA,LIMA CENTRO,F,CLASICO,1.0,0,0
18500,4109.11,50.0,54.0,Visa,T.MIRAFLORES S.BORJA,LIMA CENTRO,F,CLASICO,1.0,0,0
12000,1447.83,53.0,27.0,Visa,T.SURCO LA MOLINA,LIMA ESTE,M,BAJO VALOR,1.0,0,0
5400,1088.56,38.0,85.0,Visa,T.SURCO LA MOLINA,LIMA ESTE,F,CLASICO,1.0,0,0
7900,1586.125,53.0,231.0,Visa,T.MIRAFLORES S.BORJA,LIMA CENTRO,F,BAJO VALOR,1.0,0,0
1000,2051.5,48.0,23.0,Visa,T.SURCO LA MOLINA,LIMA ESTE,F,CLASICO,1.0,0,0
2900,1757.0,43.0,231.0,Visa,T.LIMA CENTRO,LIMA ESTE,M,CLASICO,1.0,0,0
9900,1898.29,55.0,81.0,Visa,T.LIMA CENTRO,LIMA CENTRO,F,CLASICO,1.0,0,0
20000,3203.0,44.0,177.0,Visa,T.LIMA CENTRO,LIMA CENTRO,F,VIP,1.0,0,0
1000,1016.0,57.0,124.0,Visa,T.SURCO LA MOLINA,LIMA ESTE,M,CLASICO,1.0,0,0
1200,1282.13,25.0,37.0,Visa,T.LIMA SUR,LIMA SUR,M,BAJO VALOR,1.0,0,0
7100,4417.33,63.0,22.0,Visa,T.LIMA CENTRO,LIMA SUR,M,CLASICO,1.0,0,0
10700,1448.0,55.0,126.0,Visa,T.MIRAFLORES S.BORJA,LIMA ESTE,F,CLASICO,1.0,0,0
13000,3063.5,37.0,11.0,Visa,T.MIRAFLORES S.BORJA,CALLAO,M,CLASICO,1.0,0,0
5900,1208.0,27.0,73.0,Visa,T.MIRAFLORES S.BORJA,LIMA NORTE,F,CLASICO,1.0,0,0
1200,1260.4,27.0,71.0,Visa,T.LINCE,LIMA NORTE,M,CLASICO,1.0,0,0
6000,7778.0,34.0,17.0,Visa,T.LIMA RESIDENCIAL,LIMA MODERNA,F,VIP,1.0,0,0
800,1447.11,55.0,180.0,Visa,T.LIMA SUR,LIMA NORTE,M,CLASICO,1.0,0,0
3500,2403.22,28.0,53.0,Visa,T.LINCE,LIMA ESTE,M,CLASICO,1.0,0,0
8000,3997.44,33.0,103.0,Visa,T.LIMA RESIDENCIAL,LIMA MODERNA,F,CLASICO,1.0,0,0
800,692.0,48.0,151.0,Visa,T.LIMA SUR,CALLAO,M,CLASICO,1.0,0,0
3300,1623.11,58.0,162.0,Visa,T.LIMA SUR,LIMA SUR,M,CLASICO,1.0,0,0
700,,29.0,58.0,Visa,T.LIMA SUR,LIMA SUR,F,BAJO VALOR,1.0,0,0
4000,1823.0,33.0,56.0,Visa,T.LIMA SUR,LIMA SUR,M,CLASICO,1.0,0,0
1800,35354.0,66.0,141.0,Visa,T.LIMA SUR,LIMA SUR,M,CLASICO,1.0,0,0
700,432.33,39.0,19.0,Visa,T.LIMA SUR,LIMA SUR,F,CLASICO,1.0,0,0
3900,401.0,25.0,231.0,Visa,T.LIMA RESIDENCIAL,LIMA MODERNA,F,VIP,1.0,0,0
5700,1940.0,25.0,70.0,Visa,T.LIMA SUR,LIMA MODERNA,F,CLASICO,1.0,0,0
700,6545.0,38.0,58.0,Visa,T.LIMA SUR,LIMA MODERNA,M,Micro empresa,1.0,0,0
3100,2232.78,41.0,40.0,Visa,T.LIMA SUR,LIMA SUR,M,CLASICO,1.0,0,0
2500,1524.56,45.0,126.0,Visa,T.LIMA SUR,NORTE,M,CLASICO,0.0,0,0
700,1054.56,41.0,22.0,Visa,T.LIMA SUR,LIMA CENTRO,F,BAJO VALOR,1.0,0,0
3000,2477.0,62.0,253.0,Visa,T.LIMA SUR,LIMA SUR,M,CLASICO,1.0,0,0
2000,3737.75,35.0,207.0,Visa,T.LIMA SUR,LIMA MODERNA,F,CLASICO,1.0,0,0
9900,5000.0,30.0,17.0,Visa,T.CALLAO SAN MIGUEL,CENTRO,F,CLASICO,0.0,0,0
10100,783.0,30.0,60.0,Visa,T.CALLAO SAN MIGUEL,LIMA CENTRO,M,CLASICO,1.0,0,0
9000,3293.0,30.0,58.0,Visa,T.LIMA SUR,LIMA ESTE,M,CLASICO,1.0,0,0
7000,245.0,30.0,102.0,Visa,T.MIRAFLORES S.BORJA,LIMA MODERNA,F,Micro empresa,1.0,0,0
6700,891.0,32.0,11.0,Visa,T.MIRAFLORES S.BORJA,LIMA MODERNA,M,BAJO VALOR,1.0,0,0
5800,1378.67,26.0,21.0,Visa,T.CALLAO SAN MIGUEL,LIMA NORTE,M,CLASICO,1.0,0,0
